Estados;Criticidad;Tarea;Descripción;Inicio;Previsto;Final;Duración;Retraso;Asignado;KANBAN
COMPLETADO;URGENTE;Lista de Interesado                                                        ;Registro de personas o grupos involucrados.;17/10/2025;23/10/2025;23/10/2025;7 días;0 días;Kevin Castillo;Tarea 1
COMPLETADO;IMPORTANTE;FODA;Análisis de Fortalezas, Oportunidades, Debilidades y Amenazas.;16/10/2025;29/10/2025;29/10/2025;14 días;0 días;Ismael Silva;Tarea 2
COMPLETADO;IMPORTANTE;Introduccion;Presentación general del proyecto.;12/10/2025;14/11/2025;14/11/2025;34 días;0 días;Cristian Becerra;Tarea 3
COMPLETADO;IMPORTANTE;Planteamiento del Problema;Definición del problema a resolver.;12/10/2025;14/11/2025;14/11/2025;34 días;0 días;Ismael Silva;Tarea 4
COMPLETADO;IMPORTANTE;Objetivos;Metas del proyecto.;12/10/2025;14/11/2025;14/11/2025;34 días;0 días;Kevin Castillo;Tarea 5
COMPLETADO;IMPORTANTE;Alcance;Límites y entregables del proyecto.;12/10/2025;14/11/2025;14/11/2025;34 días;0 días;Kevin Castillo;Tarea 6
COMPLETADO;IMPORTANTE;Marco Teorico;Base conceptual y antecedentes.;12/10/2025;14/11/2025;14/11/2025;34 días;0 días;Ismael Silva;Tarea 7
COMPLETADO;IMPORTANTE;Ideas a Defender;Hipótesis principales del proyecto.;12/10/2025;14/11/2025;14/11/2025;34 días;0 días;Cristian Becerra;Tarea 8
COMPLETADO;IMPORTANTE;Resultados Esperados;Productos finales anticipados.;12/10/2025;14/11/2025;14/11/2025;34 días;0 días;Cristian Becerra;Tarea 9
COMPLETADO;NORMAL;Referencias;Fuentes de información consultadas.;12/10/2025;14/11/2025;14/11/2025;34 días;0 días;Cristian Becerra;Tarea 10
COMPLETADO;IMPORTANTE;Realizacion Guion de Entrevista;Diseño de preguntas para stakeholders.;23/10/2025;05/11/2025;05/11/2025;14 días;0 días;Ismael Silva;Tarea 11
COMPLETADO;URGENTE;Videoreunion 1;Primera reunión virtual de alineación.;05/11/2025;05/11/2025;05/11/2025;1 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 12
COMPLETADO;NORMAL;Podcast;Episodio de audio sobre el proyecto.;23/10/2025;05/11/2025;05/11/2025;14 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 13
COMPLETADO;URGENTE;Realizacion Matriz Historias de Usuario;Tabla con historias de usuario y criterios.;10/11/2025;06/01/2026;06/01/2026;58 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 14
COMPLETADO;URGENTE;Videoreunion 2;Segunda reunión virtual de seguimiento.;28/11/2025;28/11/2025;28/11/2025;1 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 15
COMPLETADO;URGENTE;Realizacion Backlog;Lista priorizada de requisitos.;24/11/2025;05/01/2026;05/01/2026;43 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 16
COMPLETADO;IMPORTANTE;Reunion Scrum Team;Encuentro del equipo ágil.;23/11/2025;23/11/2025;23/11/2025;1 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 17
COMPLETADO;URGENTE;Funcionalidad Sprint 1;Requisitos del primer ciclo de desarrollo.;06/12/2025;21/12/2025;21/12/2025;16 días;0 días;Cristian Becerra, Kevin Castillo, Ismael Silva;Tarea 18
COMPLETADO;URGENTE;REQ001: Inicio de Sesion;Sistema de autenticación seguro.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Kevin Castillo;Tarea 19
COMPLETADO;URGENTE;REQ001-1: Validacion de Credenciales;Verificar usuario y contraseña en BD.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Kevin Castillo;Tarea 20
COMPLETADO;URGENTE;REQ001-2: Enmascaramiento de constrasena;Ocultar contraseña al escribir.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Kevin Castillo;Tarea 21
COMPLETADO;URGENTE;REQ001-3: Mensaje de Error en caso de credenciales incorrectas;Mostrar si credenciales son incorrectas.;06/12/2025;12/12/2025;12/12/2025;7 días;0 días;Kevin Castillo;Tarea 22
